Filled container:
Container contains 128 elements
1: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
2: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
3: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
4: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
5: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
6: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
7: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
8: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
9: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
10: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
11: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
12: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
13: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
14: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
15: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
16: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
17: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
18: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
19: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
20: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
21: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
22: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
23: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
24: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
25: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
26: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
27: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
28: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
29: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
30: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
31: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
32: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
33: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
34: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
35: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
36: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
37: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
38: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
39: It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
40: It is a Beast: name = Beast3, weight: 666, is: omnivore, and has a special number: 0.819820
41: It is a Fish: name = Fish1 , weight: 150, lives in: River, and has a special number of: 2.953333
42: It is a Fish: name = Fish2 , weight: 450, lives in: Sea, and has a special number of: 0.986667
43: It is a Fish: name = Fish3 , weight: 1500, lives in: Lake, and has a special number of: 0.296667
44: It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
45: It is a Bird: name = Bird2 , weight: 456, is not migrating, and has a special number: 0.953947
46: It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
