The average special number is: 3.115898
The sorted elements are: 
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
It is a Bird: name = Bird1 , weight: 50, is migrating, and has a special number: 8.680000
It is a Beast: name = Beast1, weight: 90, is: carnivore, and has a special number: 6.044444
It is a Beast: name = Beast2, weight: 130, is: herbivore, and has a special number: 4.192308
